"ID","Attending","Graduate_On","Plan_attend","Completed","Completed_On","Graduated","Graduation_Date","ID_PK","Study","Grad_Date_Change","Completed_Date_Change","Graduation_Date_Change","Degree_Recieved"
"10760","New Bedford High School","06/01/14 00:00:00","College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6147","sports medic","Month-Only","Year-Only","Year-Only",
"10781","NRHEG","05/25/13 00:00:00",,,"05/03/15 00:00:00","NIACC","05/03/15 00:00:00","6159",,,,,"ASSOSIATES"
"10783","NRHEG High School","05/30/12 00:00:00","Riverland",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6160","Cometology",,"Year-Only","Year-Only",
"11069","Point Pleasant High School","05/01/13 00:00:00","Police Academy",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6366","Law Enforcement","Month-Only","Year-Only","Year-Only",
"11064","Warrior Academy","05/23/13 00:00:00","Superhero University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6367","Warrior Training",,"Year-Only","Year-Only",
"11065","Point Pleasant High School","05/23/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6368","Business Management ",,"Year-Only","Year-Only",
"11024","Point Pleasant Jr./Sr. High School","05/01/13 00:00:00","Marshall Unversity ",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6369","Early Education","Month-Only","Year-Only","Year-Only",
"11066","Point Pleasant Highschool","05/01/13 00:00:00","WVU",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6370","Sports ","Month-Only","Year-Only","Year-Only",
"11073","Point Pleasant High School","05/25/13 00:00:00","WVU or Marshall",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6371","Physical Therapy",,"Year-Only","Year-Only",
"11072","Point Pleasant High School","07/18/95 00:00:00","Wv State College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6372","Education",,"Year-Only","Year-Only",
"11070","Warrior High School ","05/01/12 00:00:00","Warrior University ",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6373","Warrior ","Month-Only","Year-Only","Year-Only",
"11071","Point Pleasant Junior/Senior High School","05/20/13 00:00:00","Marshall University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6374","Buisness Marketing",,"Year-Only","Year-Only",
"11068","Point Pleasant Junior/Senior High School","05/01/13 00:00:00","Rio Grande Community College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6375","Nursing","Month-Only","Year-Only","Year-Only",
